% time  amplitude  freq   approx.island width[cm] (CATS)
62.4262  0.000134876  8.66699  3.353374
62.4344  0.00014437  8.78906  3.469386
62.4426  0.000101405  8.97217  2.907658
62.4508  8.11288e-05  8.60596  2.600763
62.459  8.58457e-05  8.60596  2.675298
62.4672  9.96054e-05  8.66699  2.881734
62.4754  9.45659e-05  8.66699  2.807885
62.4836  9.3013e-05  8.66699  2.784732
62.4918  0.000128539  8.42285  3.273622
62.5  0.000105026  8.54492  2.959095
62.5082  0.000116907  8.54492  3.12198
62.5164  0.000116105  8.60596  3.111248
62.5246  0.000116657  8.60596  3.118628
62.5328  0.000126635  8.60596  3.249256
62.541  0.000123077  8.60596  3.203276
62.5492  0.000129388  8.66699  3.284365
62.5574  0.000136106  8.66699  3.368538
62.5656  0.000141499  8.66699  3.434611
62.5738  0.000146702  8.72803  3.497171
62.582  0.000155449  8.72803  3.5999
62.5902  0.000157843  8.72803  3.627492
62.5984  0.000179456  8.78906  3.867851
62.6066  0.000162329  8.8501  3.678625
62.6148  0.000170019  8.91113  3.764719
62.623  0.000171285  8.97217  3.778674
62.6311  0.000171199  9.09424  3.777688
62.6393  0.000159061  9.15527  3.641267
62.6475  0.000167946  9.15527  3.741539
62.6557  0.000160538  9.15527  3.658042
62.6639  0.000171322  9.15527  3.778856
62.6721  0.000167833  9.15527  3.740124
62.6803  0.000165733  9.21631  3.716592
62.6885  0.000187066  9.15527  3.948487
62.6967  0.000185612  9.15527  3.933044
62.7049  0.000183001  9.15527  3.905213
62.7131  0.000192975  9.15527  4.010148
62.7213  0.00019795  9.15527  4.061434
62.7295  0.00019491  9.15527  4.030047
62.7377  0.000203904  9.15527  4.121897
62.7459  0.000199077  9.21631  4.072733
62.7541  0.000210561  9.21631  4.188469
62.7623  0.000217705  9.27734  4.25884
62.7705  0.000212637  9.27734  4.208886
62.7787  0.000225841  9.27734  4.337503
62.7869  0.000224192  9.33838  4.321544
62.7951  0.000215753  9.33838  4.239336
62.8033  0.000252623  9.27734  4.587185
62.8115  0.000222393  9.27734  4.303887
62.8197  0.000233906  9.27734  4.413789
62.8279  0.000237645  9.27734  4.44883
62.8361  0.000251894  9.27734  4.580164
62.8443  0.000234897  9.33838  4.422844
62.8525  0.000282594  9.27734  4.851045
62.8607  0.000251785  9.21631  4.578885
62.8689  0.00026965  9.21631  4.73845
62.877  0.000208814  9.09424  4.169725
62.8852  0.000285506  9.15527  4.875587
62.8934  0.000257837  9.15527  4.633229
62.9016  0.000263649  9.09424  4.685073
62.9098  0.000243127  9.27734  4.498963
62.918  0.000259667  9.21631  4.649401
62.9262  0.00025578  9.27734  4.614398
62.9344  0.000254226  9.27734  4.600291
62.9426  0.000267262  9.21631  4.716696
62.9508  0.00027706  9.21631  4.802314
